"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","good","happi","work","new","friend","made","one"
"2","night","life","got","play","time","veri","will"
"3","went","feel","get","watch","went","happi","just"
"4","dinner","moment","abl","game","famili","day","make"
"5","nice","one","job","bought","year","wife","like"
"6","morn","make","receiv","found","enjoy","home","take"
"7","dog","event","final","favorit","long","birthday","home"
"8","made","good","finish","won","old","son","want"
"9","great","thing","money","movi","day","love","start"
"10","realli","can","complet","got","school","first","befor"
"11","got","use","help","car","visit","came","said"
"12","eat","like","project","video","see","see","ask"
"13","took","live","promot","show","talk","girlfriend","even"
"14","ate","person","pay","final","trip","realli","becaus"
"15","hour","mani","compani","purchas","best","gave","decid"
"16","wife","peopl","done","team","togeth","daughter","place"
"17","lunch","well","manag","buy","fun","felt","told"
"18","food","also","ive","start","met","back","onli"
"19","walk","posit","fix","onlin","weekend","becaus","day"
"20","abl","still","card","one","spend","surpris","littl"
